MutationType	InD1	InD2a	InD2b	InD3a	InD3b	InD4a	InD4b	InD4c	InD4d	InD6	InD7	InD8	InD9	InD9a	InD9b	InD9c	InD11	InD12	InD13	InD14	InD15	InD16a	InD16b	InD17	InD18	InD19	InD20	InD21	InD23	InD24	InD26	InD29	InD30	InD31	InD32	InD33
G[Del(T):R(5,7)]C	3.75e-05	0.014032022	0.016963392	0.004336594	0.000138803	0.002963454	0.002078182	0.000651007	0.001640961	0.001671607	0.014100592	0.002434615	0.005824999	0.000595547	0.006927553	0.004913523	0.005327212	0.006970522	0.002222657	0.002984741	0.002181216	0.019013293	0.011698123	0.000246792	0.000954037	0.002757203	0.006676661	0.009558228	0.001764149	0.003430644	0.004464577	0.006577448	0.000468823	0.002068955	0.002321981	0.01231958
G[Del(T):R(5,7)]G	2.72e-07	0.013741723	0.012434142	0.004782664	0.001655631	0.001847685	0.000945423	0.001733368	2.79e-05	0.003522847	0.012528252	0.001520069	0.009961071	0.002403275	0.008059312	0.006726609	0.003126652	0.003807159	0.002146598	0.001508088	0.001027949	0.022594544	0.014024287	0.000246792	0.000975121	0.002150621	0.005608237	0.006491268	0.001114623	0.006207544	0.004139754	0.003970094	0.0	0.0041091	0.001547988	0.005488017
A[Del(T):R(8,9)]A	0.001433019	0.11845749	0.073780545	0.00093646	0.007523935	0.017096753	0.001950497	0.001010462	0.003124724	0.000555188	0.073963934	0.002426123	6.84e-06	0.001855766	0.010319814	0.007793203	1.12e-05	0.017229124	0.005656247	0.002538749	0.014119694	0.07597933	0.047512494	0.000987167	0.007256364	0.021376503	0.04477428	0.041527387	0.008212423	0.008264026	0.015320019	0.000626186	0.000937647	0.010366688	0.01625387	0.009574543
A[Del(T):R(8,9)]C	0.003226281	0.088847258	0.060228667	0.000325536	0.003714808	0.012627958	0.000130971	0.00037335	0.001075355	0.000242066	0.038350091	0.002642094	0.003152528	0.005293602	0.011468773	0.015977528	0.005704575	0.014141416	0.001667543	0.002406005	0.004307617	0.042772814	0.026537157	0.001233959	0.007821037	0.016251629	0.025653421	0.02996133	0.005203219	0.014113421	0.01959387	0.002252115	0.00140647	0.00358554	0.01006192	0.01455135
A[Del(T):R(8,9)]G	0.000883944	0.051238812	0.022760432	0.000465112	0.003567296	0.005424394	2.98465e-06	0.000247607	0.003239687	0.000656194	0.041232744	1.11e-05	0.000190661	0.000422493	0.001295917	0.003570474	0.000896727	0.009224062	0.00107009	0.000269769	0.001358067	0.026475017	0.015027219	0.000246792	0.002320186	0.013383679	0.011304074	0.021711383	0.00650573	0.009885135	0.004808352	0.000962343	0.0	0.001000666	0.001547988	0.002938901
C[Del(T):R(8,9)]A	0.000426423	0.061995282	0.035753621	0.000698009	0.006653048	0.01457642	0.001043771	0.000353481	0.007017588	1.37e-05	0.055747361	9.93e-06	0.001118045	0.000214269	0.002325975	0.010241768	0.001066354	0.016704681	0.003110869	0.000738423	0.00793369	0.040148663	0.025870074	0.0	0.000458159	0.01677345	0.006184799	0.028167412	0.006698137	0.018909164	0.005626792	0.000791621	0.000468823	0.003860261	0.003095975	0.016712927
C[Del(T):R(8,9)]C	0.002414824	0.06144102	0.071945861	0.000636347	0.005698006	0.016242929	0.005680105	0.000132369	0.004119664	0.000392221	0.056822371	0.000899296	0.000418356	0.000546808	0.001007437	0.00130368	0.000348702	0.018051764	0.001025802	0.00117512	0.002443662	0.041395161	0.019611772	0.001727542	0.000719561	0.01495229	0.002486627	0.030728264	0.000240821	0.022076796	0.018450395	0.00183954	0.000937647	0.00152162	0.006965944	0.015665608
C[Del(T):R(8,9)]G	6.46e-05	0.045277702	0.021761725	0.000126701	0.005138081	0.007859667	0.001437134	0.000270072	0.004390766	1.7e-08	0.060315318	1.13e-05	0.000239604	0.000191282	4.54538e-05	2.03407e-05	0.000445149	0.006201135	0.001395487	7.29e-70	0.000931354	0.02409711	0.013436358	0.000246792	0.000153731	0.016272296	1.2299999999999999e-30	0.023881473	0.000481539	0.004861055	0.010055798	0.001453208	0.0	0.00433551	0.003095975	6.699999999999999e-61
G[Del(T):R(8,9)]A	0.000171663	0.035190805	0.029306259	0.000210402	0.002008118	0.007395989	0.000256329	0.000424005	0.000151209	0.000205187	0.036078633	0.000181578	0.001224434	0.000128061	0.002325909	0.006421135	0.000999786	0.00479411	0.001210498	0.000700057	0.00522247	0.026281364	0.015708421	0.0	0.002184516	0.009313706	0.006226742	0.016004265	0.001286996	0.012000841	0.010016268	0.001464573	0.000937647	0.000194061	0.004643963	0.018533227
G[Del(T):R(8,9)]C	0.000856208	0.033049033	0.031088767	0.000463509	0.00277007	0.00588597	0.000339061	0.000213624	0.000376207	0.000641019	0.024600865	0.000271599	0.000315622	0.002060914	0.002411669	0.001674482	0.000774582	0.005082216	0.001581832	0.000571346	0.001429453	0.018031659	0.009844462	0.0	0.00083705	0.007552625	0.001513048	0.014142872	0.000434574	0.005345722	0.011074324	0.001725309	0.0	0.003065926	0.00619195	0.014404295
